Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
1.76e+22,180.731,5.44988,141.653,33.1623,0
1.78e+22,107.333,3.7716300000000005,146.071,28.458,0
1.76e+22,109.462,3.6853300000000004,152.907,29.7022,0
1.74e+22,98.733,4.30215,157.086,22.9497,0
1.73e+22,133.475,5.0907599999999995,148.216,26.2191,0
1.74e+22,74.554,3.95183,139.904,18.8657,0
1.76e+22,138.838,6.74845,136.495,20.5733,0
1.75e+22,0.383311,4.0,133.422,0.0958277,0
1.76e+22,27.8692,6.74712,140.018,4.13053,0
1.77e+22,550.764,6.58701,134.624,83.6136,0
1.75e+22,292.142,5.970280000000001,134.36,48.9327,0
1.75e+22,445.291,7.411569999999999,135.95,60.0805,0
1.76e+22,428.823,7.098510000000001,136.121,60.4103,0
1.75e+22,530.518,8.155669999999999,138.9,65.04899999999999,0
1.78e+22,59.4553,10.238,123.377,5.80732,0
1.73e+22,143.385,8.58725,143.25,16.6974,0
1.73e+22,148.65,7.2664100000000005,145.858,20.4571,0
1.71e+22,121.315,12.6427,143.483,9.59568,0
1.72e+22,286.2870000000001,7.008260000000001,147.96,40.85,0
1.71e+22,83.9384,6.981310000000001,142.102,12.0233,0
1.7e+22,311.778,15.0166,155.03799999999995,20.7622,0
1.7e+22,169.079,8.32801,162.74,20.3024,0
1.69e+22,206.502,10.315999999999999,171.947,20.0176,0
1.67e+22,96.0353,11.6942,166.584,8.21222,0
1.68e+22,266.931,8.50843,169.77900000000002,31.3725,0
1.66e+22,158.434,16.4403,171.96900000000005,9.63691,0
1.64e+22,384.342,8.43703,171.984,45.5542,0
1.63e+22,78.5023,8.88132,178.423,8.839030000000003,0
1.63e+22,126.698,16.236,175.53900000000004,7.8035,0
1.62e+22,172.18200000000004,11.8989,169.93200000000004,14.4704,0
1.6e+22,142.91899999999995,7.39588,166.03900000000004,19.3242,0
1.59e+22,119.512,10.8422,165.388,11.0229,0
1.57e+22,75.4545,6.93573,163.514,10.8791,0
1.56e+22,87.0409,9.73376,152.278,8.942169999999997,0
1.54e+22,105.306,13.0838,148.406,8.04856,0
1.53e+22,130.31,12.883,155.358,10.1149,0
1.53e+22,176.544,9.141810000000001,148.47799999999995,19.3117,0
1.53e+22,160.138,12.6636,152.725,12.6455,0
1.52e+22,141.877,20.763,153.16899999999995,6.83316,0
2.3e+22,1950.65,15.3505,36.0297,127.074,1
2.21e+22,1470.69,13.1274,37.2672,112.032,1
2.2e+22,1284.3,13.894,37.024,92.4354,1
2.23e+22,1674.37,17.9476,39.6817,93.2921,1
2.18e+22,1553.2,13.0311,35.9071,119.192,1
2.14e+22,1115.28,17.3849,39.1481,64.1525,1
2.15e+22,782.1189999999998,17.276,40.0737,45.272,1
2.14e+22,641.036,14.8024,40.2921,43.3062,1
2.15e+22,801.4169999999998,15.7289,41.1892,50.9519,1
