Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
6.68e+22,8730.26,35.8566,52.2766,243.477,0
6.67e+22,8420.81,38.3657,51.5588,219.488,0
6.66e+22,8648.53,36.1221,49.5744,239.425,0
6.59e+22,8563.63,39.4532,50.0628,217.058,0
6.55e+22,8179.8,36.7529,50.6501,222.562,0
6.54e+22,8721.12,38.7614,49.8827,224.995,0
6.53e+22,9603.78,34.1288,50.3002,281.398,0
6.47e+22,8136.86,30.8372,50.0855,263.865,0
6.42e+22,7051.35,37.6683,51.7995,187.196,0
6.38e+22,7415.1,31.0701,52.7515,238.657,0
6.37e+22,6035.86,28.6335,50.1549,210.797,0
6.32e+22,6557.21,24.7936,52.6577,264.472,0
6.32e+22,5657.63,26.7594,52.4347,211.426,0
6.3e+22,5979.37,29.3538,54.8145,203.7,0
6.33e+22,6885.63,33.9481,55.5891,202.828,0
6.33e+22,6411.61,31.8992,55.5813,200.996,0
6.31e+22,6221.13,29.5816,56.3727,210.304,0
6.31e+22,6216.79,30.818,58.0971,201.726,0
6.29e+22,5902.48,28.3476,57.3282,208.218,0
6.22e+22,5296.24,28.2397,58.3431,187.546,0
6.21e+22,4249.48,25.5936,56.9092,166.037,0
6.17e+22,4716.35,23.1533,56.5041,203.701,0
